AQI,PM2.5,PM10,CO,No2,So2,O3
46,27,40,6,38,0.79,71
50,19,34,8,39,0.61,80
77,47,60,10,39,0.68,94
59,32,47,11,25,0.61,89
70,48,55,9,29,0.69,93
54,31,43,8,42,0.77,58
89,65,75,9,48,0.86,49
97,72,93,10,53,0.91,66
66,42,56,11,38,0.75,53
51,34,41,10,52,1.11,28
35,19,25,6,41,0.75,50
35,11,16,5,38,0.67,70
59,40,56,8,40,0.69,55
84,61,67,13,40,0.91,51
96,63,64,11,37,0.7,109
87,63,63,10,42,0.91,74
82,59,73,17,36,0.88,109
125,86,119,23,61,1.05,71
67,26,73,16,56,0.65,80
78,51,97,25,67,0.84,88
101,73,102,26,56,0.79,114
64,41,58,13,57,0.75,82
49,31,39,10,39,0.63,70
60,31,47,10,28,0.55,107
49,32,41,10,31,0.75,59
64,30,74,11,33,0.54,87
78,43,97,33,63,0.75,86
68,44,80,27,53,0.81,62
47,31,44,17,54,0.95,32
74,47,79,19,45,0.74,96
67,41,67,15,46,0.64,97
72,51,64,16,70,1.25,22
116,84,102,18,62,1.29,80
80,43,65,17,51,0.71,74
63,23,56,15,55,0.59,87
68,23,48,12,32,0.57,115
59,36,63,12,43,0.69,65
75,50,71,13,37,0.88,75
65,33,54,11,29,0.58,103
56,26,52,15,37,0.56,101
61,39,60,10,37,0.68,81
71,50,64,13,38,0.75,46
52,34,53,7,34,0.66,62
71,50,60,14,49,0.98,25
92,66,91,16,43,0.78,86
106,79,105,20,89,1.23,36
73,48,79,18,51,1.07,44
98,72,89,16,50,1.32,40
91,67,78,14,57,1.51,51
87,63,56,16,50,1.24,36
45,29,30,9,37,0.82,74
44,27,42,12,36,0.64,65
68,48,62,22,54,0.86,58
62,41,65,23,74,0.7,53
81,58,75,27,71,0.82,66
72,51,77,20,69,0.73,59
103,65,92,19,43,0.75,124
